DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
1/20/23,00:00:00,BAL,,Cash balance at the start of business day 20.01 CST,,,,"27,000.55"
1/20/23,10:02:19,TRD,1617991510,tAndroid SOLD -5 DIAGONAL SPY 100 (Weeklys) 23 JAN 23/20 JAN 23 390/392 PUT @-.17,-0.07,-6.50,-85.00,"26,908.98"
1/20/23,10:02:19,TRD,1617991527,tAndroid SOLD -5 CALENDAR SPY 100 (Weeklys) 23 JAN 23/20 JAN 23 392 CALL @.78,-0.07,-6.50,390.00,"27,292.41"
1/21/23,00:00:00,BAL,,Cash balance at the start of business day 21.01 CST,,,,"27,292.41"
1/22/23,00:00:00,BAL,,Cash balance at the start of business day 22.01 CST,,,,"27,292.41"
1/23/23,00:00:00,BAL,,Cash balance at the start of business day 23.01 CST,,,,"27,292.41"
1/23/23,09:40:53,TRD,1618845127,tAndroid SOLD -5 DIAGONAL SPY 100 24 JAN 23/23 JAN 23 394/392 CALL @-1.61,-0.11,-6.50,-805.00,"26,480.80"
1/23/23,09:42:51,TRD,1618848421,tAndroid SOLD -5 DIAGONAL SPY 100 24 JAN 23/23 JAN 23 394/390 PUT @.41,-0.07,-6.50,205.00,"26,679.23"
1/24/23,00:00:00,BAL,,Cash balance at the start of business day 24.01 CST,,,,"26,679.23"
1/24/23,11:40:13,TRD,1619875742,tAndroid SOLD -5 DIAGONAL SPY 100 (Weeklys) 25 JAN 23/24 JAN 23 396/394 CALL @-1.48,-0.10,-6.50,-740.00,"25,932.63"
1/24/23,11:40:34,TRD,1619875763,tAndroid SOLD -5 DIAGONAL SPY 100 (Weeklys) 25 JAN 23/24 JAN 23 396/394 PUT @.49,-0.07,-6.50,245.00,"26,171.06"
1/25/23,00:00:00,BAL,,Cash balance at the start of business day 25.01 CST,,,,"26,171.06"
1/25/23,09:32:22,TRD,1620509622,tAndroid SOLD -5 CALENDAR SPY 100 26 JAN 23/25 JAN 23 396 CALL @1.05,-0.07,-6.50,525.00,"26,689.49"
1/25/23,09:32:37,TRD,1620509672,tAndroid SOLD -5 DIAGONAL SPY 100 26 JAN 23/25 JAN 23 394/396 PUT @-.17,-0.07,-6.50,-85.00,"26,597.92"
1/26/23,00:00:00,BAL,,Cash balance at the start of business day 26.01 CST,,,,"26,597.92"
1/26/23,10:48:34,TRD,1621522970,tAndroid SOLD -5 DIAGONAL SPY 100 (Weeklys) 27 JAN 23/26 JAN 23 400/396 CALL @-2.68,-0.09,-6.50,"-1,340.00","25,251.33"
1/26/23,10:50:44,TRD,1621526502,tAndroid SOLD -5 DIAGONAL SPY 100 (Weeklys) 27 JAN 23/26 JAN 23 400/394 PUT @1.27,-0.07,-6.50,635.00,"25,879.76"
1/27/23,00:00:00,BAL,,Cash balance at the start of business day 27.01 CST,,,,"25,879.76"
1/27/23,13:34:26,TRD,1622589720,tAndroid SOLD -5 CALENDAR SPY 100 (Weeklys) 30 JAN 23/27 JAN 23 400 CALL @.22,-0.12,-6.50,110.00,"25,983.14"
1/27/23,13:35:18,TRD,1622589733,tAndroid SOLD -5 DIAGONAL SPY 100 (Weeklys) 30 JAN 23/27 JAN 23 404/400 PUT @.58,-0.07,-6.50,290.00,"26,266.57"
1/28/23,00:00:00,BAL,,Cash balance at the start of business day 28.01 CST,,,,"26,266.57"
1/29/23,00:00:00,BAL,,Cash balance at the start of business day 29.01 CST,,,,"26,266.57"
1/30/23,00:00:00,BAL,,Cash balance at the start of business day 30.01 CST,,,,"26,266.57"
1/30/23,13:01:57,TRD,1623435045,tAndroid SOLD -5 DIAGONAL SPY 100 31 JAN 23/30 JAN 23 402/400 CALL @-.30,-0.08,-6.50,-150.00,"26,109.99"
1/30/23,13:02:43,TRD,1623435691,tAndroid SOLD -5 DIAGONAL SPY 100 31 JAN 23/30 JAN 23 402/404 PUT @-.24,-0.07,-6.50,-120.00,"25,983.42"
1/31/23,00:00:00,BAL,,Cash balance at the start of business day 31.01 CST,,,,"25,983.42"
1/31/23,10:32:21,TRD,1624080564,tAndroid SOLD -5 CALENDAR SPY 100 (Weeklys) 1 FEB 23/31 JAN 23 402 CALL @2.02,-0.09,-6.50,"1,010.00","26,986.83"
1/31/23,10:33:40,TRD,1624084044,tAndroid SOLD -5 CALENDAR SPY 100 (Weeklys) 1 FEB 23/31 JAN 23 402 PUT @1.95,-0.08,-6.50,975.00,"27,955.25"
2/1/23,00:00:00,BAL,,Cash balance at the start of business day 01.02 CST,,,,"27,955.25"
2/1/23,10:12:10,TRD,1624800468,tAndroid SOLD -5 CALENDAR SPY 100 2 FEB 23/1 FEB 23 402 PUT @.64,-0.08,-6.50,320.00,"28,268.67"
2/1/23,10:12:36,TRD,1624800488,tAndroid SOLD -5 DIAGONAL SPY 100 2 FEB 23/1 FEB 23 404/402 CALL @-.41,-0.09,-6.50,-205.00,"28,057.08"
2/2/23,00:00:00,BAL,,Cash balance at the start of business day 02.02 CST,,,,"28,057.08"
2/2/23,14:14:39,TRD,1625980295,tAndroid SOLD -5 DIAGONAL SPY 100 17 MAR 23/2 FEB 23 280/404 CALL @125.52,-1.21,-6.50,"62,760.00","90,809.37"
